id,region,res1,res2,res3,res4,res5,res6
0,atlanta,671,452,378,110,219,652
1,atlanta,573,607,291,117,334,44
2,atlanta,288,508,616,480,438,19
3,atlanta,334,397,221,54,315,138
4,atlanta,652,288,671,565,134,369
5,atlanta,323,438,334,259,206,221
6,atlanta,220,106,652,480,114,19
7,atlanta,443,244,610,312,32,427
8,atlanta,44,114,133,318,671,227
9,atlanta,133,227,259,75,44,121
10,atlanta,221,106,334,380,227,541
11,atlanta,299,198,76,460,603,612
12,atlanta,133,75,227,671,106,334
13,atlanta,546,441,163,653,619,206
14,atlanta,661,565,392,488,348,364
15,atlanta,661,255,294,659,565,164
16,atlanta,563,175,612,90,146,661
17,atlanta,565,652,288,397,315,336
18,atlanta,576,120,659,620,418,90
19,atlanta,565,471,222,122,386,547
20,atlanta,516,509,222,488,453,53
21,atlanta,620,282,603,10,636,644
22,atlanta,323,671,197,227,334,54
23,atlanta,227,278,219,164,60,86
24,atlanta,60,621,369,16,613,507
25,atlanta,659,188,244,123,357,147
26,atlanta,576,418,428,659,116,640
27,atlanta,133,64,507,227,293,302
28,atlanta,553,667,146,70,38,213
29,atlanta,392,419,450,193,525,262
30,atlanta,478,44,133,262,590,589
31,atlanta,418,659,576,495,563,223
32,atlanta,133,516,86,563,227,546
33,atlanta,135,92,521,632,25,194
34,atlanta,460,669,163,665,90,586
35,atlanta,652,17,565,44,642,288
36,atlanta,315,397,265,17,167,432
37,atlanta,565,121,293,584,652,302
38,atlanta,21,174,501,302,659,516
39,atlanta,294,659,661,10,245,218
40,atlanta,133,302,394,460,21,644
41,atlanta,453,524,364,612,626,241
42,atlanta,161,495,120,595,162,603
43,atlanta,265,565,17,134,642,53
44,atlanta,117,334,573,493,252,106
45,atlanta,312,662,588,612,443,638
46,atlanta,671,133,642,334,652,590
47,atlanta,116,603,199,643,299,502
48,atlanta,541,671,19,427,567,114
49,atlanta,44,432,407,569,583,233
50,atlanta,174,302,667,501,545,450
51,atlanta,315,397,565,17,652,654
52,atlanta,553,408,608,206,413,70
53,atlanta,293,616,443,662,551,89
54,atlanta,137,516,488,64,61,121
55,atlanta,64,17,61,413,642,148
56,atlanta,516,302,233,509,148,488
57,atlanta,508,438,288,67,427,380
58,atlanta,516,17,589,509,457,137
59,atlanta,44,496,288,671,652,407
60,atlanta,288,652,293,114,304,319
61,atlanta,106,56,259,67,148,427
62,atlanta,565,501,453,509,137,302
63,atlanta,17,221,427,233,671,642
64,atlanta,541,166,427,380,106,67
65,atlanta,146,198,1,361,2,61
66,atlanta,642,222,673,654,308,17
67,atlanta,148,635,450,457,302,516
68,atlanta,546,291,323,221,421,60
69,atlanta,364,595,241,162,199,418
70,atlanta,219,109,60,133,323,671
71,atlanta,369,671,114,334,133,661
72,atlanta,162,595,626,524,175,661
73,atlanta,163,332,595,148,653,281
74,atlanta,586,21,669,206,148,644
75,atlanta,565,91,427,652,534,336
76,atlanta,252,106,291,79,25,452
77,atlanta,671,541,216,166,407,79
78,atlanta,407,99,517,183,443,590
79,atlanta,334,221,117,642,380,227
80,atlanta,460,277,586,644,461,21
81,atlanta,445,135,207,25,179,508
82,atlanta,174,265,167,302,565,553
83,atlanta,17,565,642,654,652,555
84,atlanta,106,166,671,216,483,380
85,atlanta,70,239,206,146,408,305
86,atlanta,334,565,54,671,304,133
87,atlanta,44,427,508,67,583,380
88,atlanta,438,288,67,508,427,106
89,atlanta,418,69,554,446,469,282
90,atlanta,659,544,188,23,183,565
91,atlanta,546,323,643,206,578,439
92,atlanta,431,565,646,233,617,644
93,atlanta,106,427,671,166,380,259
94,atlanta,137,565,134,453,60,222
95,atlanta,643,635,496,149,299,245
96,atlanta,652,534,336,293,133,288
97,atlanta,671,219,60,334,133,54
98,atlanta,643,642,654,221,17,120
99,atlanta,556,418,659,603,644,576
100,atlanta,621,527,16,644,516,379
101,atlanta,480,216,671,652,565,166
102,atlanta,652,315,642,334,397,565
103,atlanta,671,407,19,496,106,529
104,atlanta,565,397,17,44,642,146
105,atlanta,133,186,233,643,529,364
106,atlanta,652,206,565,407,642,163
107,atlanta,133,146,501,653,163,206
108,atlanta,612,661,164,52,621,299
109,atlanta,659,418,90,620,576,250
110,atlanta,288,438,652,508,91,423
111,atlanta,565,652,336,288,117,265
112,atlanta,164,418,199,175,10,661
113,atlanta,60,133,671,573,560,304
114,atlanta,263,33,509,193,327,173
115,atlanta,233,133,432,315,652,478
116,atlanta,418,603,90,556,460,21
117,atlanta,613,516,509,121,450,419
118,atlanta,334,323,438,599,671,351
119,atlanta,565,334,133,222,134,1
120,atlanta,228,427,565,431,288,216
121,atlanta,418,659,495,576,90,116
